ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
0.5,2.5,50.0,490,0.5,144,2538.0,58
0.5,2.5,50.0,490,0.6,144,2537.9466666666667,58
0.5,2.5,50.0,490,0.7000000000000001,144,2537.9466666666667,58
0.5,2.5,50.0,490,0.8,144,2537.9466666666667,58
0.5,2.5,50.0,490,0.9,144,2537.8533333333335,58
0.5,2.5,50.0,491,0.1,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.2,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.30000000000000004,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.4,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.5,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.6,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.7000000000000001,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.8,145,2533.9866666666667,53
0.5,2.5,50.0,491,0.9,145,2533.9866666666667,53
0.5,2.5,50.0,492,0.1,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.2,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.30000000000000004,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.4,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.5,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.6,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.7000000000000001,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.8,144,2536.9533333333334,58
0.5,2.5,50.0,492,0.9,144,2536.9533333333334,58
0.5,2.5,50.0,493,0.1,145,2586.153333333333,59
0.5,2.5,50.0,493,0.2,145,2586.153333333333,59
0.5,2.5,50.0,493,0.30000000000000004,145,2586.153333333333,59
0.5,2.5,50.0,493,0.4,145,2586.153333333333,59
0.5,2.5,50.0,493,0.5,145,2586.153333333333,59
0.5,2.5,50.0,493,0.6,145,2586.153333333333,59
0.5,2.5,50.0,493,0.7000000000000001,145,2586.153333333333,59
0.5,2.5,50.0,493,0.8,145,2586.0733333333333,59
0.5,2.5,50.0,493,0.9,145,2586.0733333333333,59
0.5,2.5,50.0,494,0.1,144,2520.0133333333333,17
0.5,2.5,50.0,494,0.2,144,2520.0133333333333,17
0.5,2.5,50.0,494,0.30000000000000004,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.4,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.5,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.6,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.7000000000000001,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.8,144,2519.9733333333334,17
0.5,2.5,50.0,494,0.9,144,2519.9733333333334,17
0.5,2.5,50.0,495,0.1,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.2,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.30000000000000004,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.4,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.5,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.6,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.7000000000000001,144,2529.4133333333334,15
0.5,2.5,50.0,495,0.8,144,2529.2466666666664,16
0.5,2.5,50.0,495,0.9,144,2529.2466666666664,16
0.5,10.0,2.5,486,0.1,135,1927.58,87
0.5,10.0,2.5,486,0.2,135,1927.18,87
0.5,10.0,2.5,486,0.30000000000000004,135,1927.18,87
0.5,10.0,2.5,486,0.4,136,1927.12,87
0.5,10.0,2.5,486,0.5,136,1926.72,87
0.5,10.0,2.5,486,0.6,136,1782.82,83
0.5,10.0,2.5,486,0.7000000000000001,136,1713.1533333333334,82
0.5,10.0,2.5,486,0.8,137,1713.44,82
0.5,10.0,2.5,486,0.9,138,1617.7266666666667,80
0.5,10.0,2.5,487,0.1,134,1923.7733333333333,84
0.5,10.0,2.5,487,0.2,134,1923.7733333333333,84
0.5,10.0,2.5,487,0.30000000000000004,133,1850.1666666666667,83
0.5,10.0,2.5,487,0.4,134,1849.7733333333333,83
0.5,10.0,2.5,487,0.5,135,1778.78,82
0.5,10.0,2.5,487,0.6,135,1778.78,82
0.5,10.0,2.5,487,0.7000000000000001,135,1745.3866666666668,82
0.5,10.0,2.5,487,0.8,136,1713.64,82
0.5,10.0,2.5,487,0.9,135,1681.8066666666666,82
0.5,10.0,2.5,488,0.1,112,1623.44,81
0.5,10.0,2.5,488,0.2,112,1673.2333333333333,83
0.5,10.0,2.5,488,0.30000000000000004,106,1633.14,82
0.5,10.0,2.5,488,0.4,106,1671.7133333333334,84
0.5,10.0,2.5,488,0.5,104,1700.2333333333333,86
0.5,10.0,2.5,488,0.6,103,1700.0933333333332,86
0.5,10.0,2.5,488,0.7000000000000001,102,1698.4733333333334,86
